,20180703이용횟수
4197469.0,82
4108173.0,942
4100460.0,152
4116753.0,352
4170963.0,217
4130512.0,87
4170942.0,501
4119667.0,30
4116871.0,117
4130404.0,491
4108183.0,2901
4107940.0,2224
4107950.0,139
4116729.0,171
4170113.0,1570
4102831.0,1466
4108165.0,934
4160293.0,1377
4176974.0,146
4101434.0,11
1706.0,774
4122214.0,7792
4116979.0,284
1711.0,2009
4116880.0,904
4116897.0,2126
220.0,284
4103593.0,883
4135036.0,268
4111888.0,67
4170253.0,72
4118332.0,11
4151651.0,3091
4108038.0,494
4108070.0,1012
4100117.0,491
4122215.0,6039
4117291.0,63
4108052.0,1002
4170977.0,556
4179383.0,55
4108069.0,1855
4170093.0,5963
4130084.0,109
4170271.0,1722
4176943.0,246
4130435.0,369
4100598.0,47
4110267.0,112
4170108.0,82
1869.0,5271
4116927.0,565
1868.0,1232
221.0,174
4195603.0,111
4111886.0,112
4170283.0,63
4135065.0,52
4197019.0,13
4108079.0,560
4111819.0,170
4108044.0,5879
4122177.0,298
4111744.0,1210
1866.0,409
4160358.0,520
4100450.0,151
2823.0,342
2819.0,106
4103122.0,79
4108041.0,2765
2751.0,17
4108168.0,272
72280.0,9
4100049.0,2530
4100126.0,1733
4100106.0,227
4307.0,428
4111839.0,997
4111742.0,379
4130403.0,818
1719.0,1473
1725.0,88
4130419.0,969
4108112.0,843
1846.0,1993
1849.0,80
4106798.0,2629
4116757.0,407
4111840.0,99
4150136.0,165
4150141.0,94
4197554.0,587
4116892.0,148
4130058.0,497
4199455.0,1229
4160340.0,91
4151704.0,784
4130507.0,263
4170981.0,70
4197588.0,215
4113605.0,19
4116789.0,259
1712.0,1252
9013927.0,9
240.0,108
4116701.0,772
8001640.0,18
4100059.0,242
4116922.0,1865
4108130.0,2067
4108126.0,388
4108220.0,594
4108106.0,1491
4116852.0,589
1871.0,1669
4160339.0,100
4108053.0,978
4108059.0,290
4107928.0,4138
4108042.0,344
4108088.0,319
1713.0,9242
4100290.0,8
4100291.0,3
4116388.0,55
1718.0,335
4100022.0,1480
4108111.0,574
4176783.0,35
4509.0,23
4111660.0,140
4112032.0,133
4122308.0,204
4313.0,277
4116964.0,403
4116877.0,858
1867.0,1208
4178204.0,14
4198880.0,15
4170861.0,260
4100651.0,593
4113322.0,522
4100048.0,3391
4195716.0,761
4105379.0,409
4111851.0,493
4316.0,1299
4108137.0,240
4108147.0,719
4118267.0,30
4118271.0,21
4108171.0,231
4116717.0,228
4116713.0,561
4100609.0,270
4100496.0,18
4100610.0,317
4100642.0,45
4117287.0,607
4100138.0,717
4160364.0,261
4116876.0,770
4108185.0,504
4170104.0,326
4120450.0,267
4170973.0,1378
4111847.0,469
4150164.0,148
4100127.0,1501
4102826.0,1230
4100051.0,2325
4119331.0,379
1716.0,3385
4102820.0,2631
4135018.0,122
4100576.0,305
4108192.0,448
4130228.0,97
4100023.0,563
4100016.0,728
4117033.0,502
4117072.0,749
4130406.0,596
4108097.0,681
4100161.0,170
1710.0,419
4117183.0,2920
4130127.0,160
4170481.0,509
4108145.0,515
9012788.0,4
433.0,366
4199066.0,83
4108035.0,1068
4197592.0,849
4100124.0,139
4114355.0,44
4196993.0,681
4103279.0,1109
4117331.0,89
4199616.0,88
4130351.0,32
4108040.0,731
4120001.0,204
4108046.0,620
4116882.0,2492
4125.0,434
4123.0,18
4113599.0,1297
4114449.0,711
223.0,267
4151640.0,435
4130121.0,842
4130136.0,90
4122168.0,52
9008452.0,1
1801.0,48
4116760.0,2818
4150263.0,4
4112045.0,71
4170976.0,425
4197609.0,93
4116983.0,242
4117232.0,151
4117318.0,602
4111841.0,340
4117277.0,169
4117322.0,1056
4107929.0,1230
4110131.0,1000
4102829.0,1231
4100042.0,929
4170966.0,168
4108014.0,266
219.0,323
4116517.0,203
4116720.0,283
4100121.0,127
4100157.0,157
2617.0,9
4116883.0,1935
4117332.0,194
4117321.0,898
4198645.0,493
4108124.0,138
4108159.0,543
4100144.0,455
4116797.0,181
4100567.0,50
4100131.0,437
4116690.0,240
4130130.0,392
4111885.0,122
4100129.0,880
4101536.0,66
4179333.0,245
4107953.0,282
4108049.0,541
4130506.0,383
4130108.0,57
4117330.0,117
4314.0,385
4122174.0,1158
4108221.0,442
9003077.0,1
4108418.0,241
4108135.0,234
4100154.0,773
4108100.0,499
1714.0,321
4108218.0,1026
4170096.0,1680
11085.0,1
4195900.0,5
4116657.0,237
4160307.0,283
4116977.0,235
4103522.0,40
4116594.0,7
1455.0,250
4117070.0,483
4135021.0,115
4117269.0,93
4108182.0,81
4110130.0,1437
4108065.0,731
4160360.0,133
4108200.0,249
4117182.0,432
4199933.0,170
4100147.0,357
4100058.0,315
4123728.0,22
4108167.0,104
2723.0,5
4199042.0,11
4135026.0,200
4160272.0,1029
4111750.0,233
4116836.0,1536
4116743.0,34
4116700.0,181
4117059.0,297
4113570.0,114
4111845.0,328
9179154.0,102
4102834.0,10
4117189.0,239
4170103.0,612
4110081.0,328
1858.0,1009
1862.0,783
4100452.0,314
4100498.0,259
4130156.0,348
4116802.0,198
4150144.0,595
4117049.0,245
4117264.0,281
4108080.0,215
4105380.0,228
4122332.0,559
4114206.0,316
4102295.0,1
4113569.0,31
4170106.0,814
4170100.0,1220
4100152.0,16
4100155.0,317
4108214.0,333
2803259.0,1
1811.0,22
4151750.0,1129
4198952.0,176
4177000.0,6
4130402.0,342
4108036.0,1581
4170107.0,995
4108229.0,744
4116906.0,824
4116851.0,565
4130367.0,5
4170805.0,180
4199624.0,495
4107933.0,570
4170918.0,219
4130445.0,175
4102825.0,704
4160338.0,41
4160271.0,119
4111714.0,236
4150196.0,138
2801151.0,1
2761.0,23
2748.0,384
4108110.0,1072
4116719.0,400
4112024.0,767
4116787.0,585
4116859.0,373
1724.0,560
1726.0,31
4112034.0,352
4116873.0,798
4108109.0,1454
4116985.0,234
9034523.0,5
4151634.0,160
4130128.0,248
4117045.0,649
4108045.0,785
4105306.0,299
4108012.0,291
4116815.0,32
4108048.0,473
4199396.0,35
4111849.0,360
4108031.0,688
8003138.0,162
8955.0,3
4197467.0,1396
4111814.0,208
4111811.0,118
4170347.0,233
4108063.0,103
4170258.0,147
4100039.0,507
4100028.0,730
1807.0,13
4113290.0,1069
4103571.0,114
4195496.0,626
4113658.0,114
4195611.0,166
4108108.0,846
4111850.0,179
4119418.0,11
4197590.0,378
4199835.0,543
4179371.0,1657
4117068.0,292
4111818.0,134
9002558.0,5
4100073.0,282
4100024.0,883
4108018.0,481
4135007.0,233
4116945.0,188
