,20180702이용횟수
4116792.0,328
4116873.0,716
4170096.0,1501
4122214.0,7042
4102820.0,2329
4199630.0,234
1713.0,8348
4109531.0,180
4100068.0,188
4122215.0,5285
4100056.0,753
4197463.0,645
4170570.0,608
4199824.0,27
4130121.0,722
4108088.0,268
4108109.0,1341
4100136.0,276
4114362.0,295
4108196.0,261
4112031.0,489
4116900.0,1834
4100120.0,207
4117072.0,589
4108028.0,301
4160315.0,106
4114976.0,115
4198877.0,666
4117399.0,27
4116919.0,337
4160308.0,676
4108064.0,244
4116895.0,1691
4117183.0,2848
4111875.0,395
1867.0,1142
4151564.0,5
1863.0,173
4116879.0,742
4102829.0,1184
1711.0,1847
4197605.0,117
4108157.0,100
4100563.0,183
4116789.0,277
1712.0,1217
4100048.0,3001
4107940.0,2032
4150160.0,215
4117879.0,145
4110286.0,192
4135025.0,302
4116853.0,1103
4107850.0,51
4179367.0,178
4179369.0,52
4108031.0,648
4106798.0,2438
8004290.0,104
4112033.0,256
4196126.0,18
4176475.0,153
4111735.0,506
4110267.0,94
4100647.0,160
4111622.0,133
4179141.0,220
4176348.0,222
4110254.0,382
4100138.0,659
4150162.0,698
4175092.0,2
1508.0,17
9116940.0,5
4160380.0,273
4199835.0,496
4197590.0,362
202.0,153
4198974.0,38
4100022.0,1355
4170981.0,65
4130409.0,98
4108034.0,1129
1869.0,4934
4170112.0,855
4135522.0,11
4116788.0,925
4116782.0,80
4117037.0,154
4115241.0,6
4170093.0,5540
4170097.0,63
4100646.0,265
4135014.0,70
4199433.0,41
4103263.0,65
4100155.0,267
4170104.0,269
4116708.0,226
4114363.0,573
4150171.0,335
4110131.0,792
4197592.0,739
4117048.0,240
1846.0,1779
4111635.0,38
4116806.0,497
4116897.0,1876
4108044.0,5424
4116864.0,116
4108026.0,281
4199422.0,135
1717.0,867
4113291.0,432
4116925.0,152
4130387.0,79
4160312.0,56
4121998.0,178
4116888.0,348
4117006.0,198
4112034.0,316
4116841.0,348
4108071.0,2038
4170976.0,413
1716.0,3029
4116701.0,748
4108183.0,2416
4117032.0,737
4108141.0,371
4196917.0,35
4130058.0,442
4108128.0,261
8008820.0,50
9011273.0,7
4130032.0,522
4121992.0,77
4197588.0,213
4100127.0,1462
4151651.0,2692
4199654.0,283
4108046.0,583
4113322.0,497
4113290.0,1017
4108047.0,125
4170243.0,893
4100560.0,126
4100651.0,546
4160270.0,412
4160281.0,408
4196993.0,639
4103725.0,34
4115505.0,78
4130120.0,474
4170978.0,311
4116668.0,163
4116671.0,1403
4117322.0,909
4108040.0,644
4116975.0,46
4108110.0,1013
4130269.0,1
4199624.0,401
4130155.0,186
4119428.0,192
4198442.0,89
4116395.0,353
4100067.0,156
4100069.0,153
1457.0,866
4101807.0,1
4116693.0,289
4117055.0,190
4176428.0,6
4100650.0,744
4130507.0,235
4151573.0,5
4111623.0,207
4195716.0,704
4199455.0,1012
4199883.0,144
4116825.0,472
4119379.0,1179
4116673.0,245
4105206.0,1
4160293.0,1321
9001625.0,1
2726.0,11
4107928.0,3563
4108113.0,585
4120448.0,45
4197591.0,326
4111849.0,415
4316.0,1263
4151663.0,281
4117030.0,718
4102823.0,171
4107808.0,23
4117033.0,496
4111851.0,482
4117007.0,139
4100146.0,359
4108100.0,433
4121008.0,777
4170973.0,1136
4107934.0,895
4130445.0,252
4116719.0,377
4116755.0,448
4120450.0,206
432.0,30
7101696.0,363
4108218.0,910
4108231.0,615
8856.0,114
4116758.0,234
4116754.0,877
4107948.0,577
4116433.0,107
9036637.0,19
4108418.0,201
8009290.0,470
4130084.0,96
4114340.0,57
4108200.0,214
4119331.0,352
4117057.0,285
4108106.0,1260
4108097.0,584
4197261.0,682
4108214.0,341
4108111.0,528
4116182.0,40
4115604.0,363
4116962.0,284
4105289.0,6
4105309.0,26
4179343.0,15
4116572.0,3
4108192.0,375
4108190.0,57
4103592.0,35
4108164.0,1619
4108035.0,936
4119318.0,158
4114449.0,617
4100463.0,87
4116950.0,51
237.0,33
4114333.0,295
4116893.0,432
4116836.0,1209
9199422.0,65
4130131.0,1133
4116808.0,357
4108039.0,1287
